title,stars,price,book_stars,author,book_url,books_pages
達人に学ぶDB設計 徹底指南書 初級者で終わりたくないあなたへ,333,2860,4.4,"
ミック 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%9F%E3%83%83%E3%82%AF/dp/4798124702,0
スッキリわかるPython入門 (スッキリわかる入門シリーズ),632,2640,4.2,"
国本大悟 
(著),  
",https://www.amazon.co.jp/-/en/%E5%9B%BD%E6%9C%AC%E5%A4%A7%E6%82%9F/dp/4295006327,376 pages
達人に学ぶSQL徹底指南書 第2版 初級者で終わりたくないあなたへ,248,2750,4.5,"
ミック 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%9F%E3%83%83%E3%82%AF/dp/4798157821,368 pages
SQL 第2版 ゼロからはじめるデータベース操作 (プログラミング学習シリーズ),352,2068,4.3,"
ミック 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%9F%E3%83%83%E3%82%AF/dp/4798144452,336 pages
体系的に学ぶ 安全なWebアプリケーションの作り方 第2版 脆弱性が生まれる原理と対策の実践,226,3520,4.4,"
徳丸 浩 
(著) 
",https://www.amazon.co.jp/-/en/%E5%BE%B3%E4%B8%B8-%E6%B5%A9/dp/4797393165,688 pages
徹底攻略Python 3 エンジニア認定［基礎試験］問題集,9,2640,4.5,"
株式会社ビープラウド 
(著),  
",https://www.amazon.co.jp/-/en/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%93%E3%83%BC%E3%83%97%E3%83%A9%E3%82%A6%E3%83%89/dp/4295016055,216 pages
データドリブンマーケティングがうまくいく仕組み,8,2068,4.1,"
手島 拓也 
(著),  
",https://www.amazon.co.jp/-/en/%E5%90%89%E6%BE%A4-%E6%B5%A9%E4%B8%80%E9%83%8E/dp/4295408158,200 pages
TypeScriptとReact/Next.jsでつくる実践Webアプリケーション開発,120,3323,4.5,"
落水 恭介 
(著),  
",https://www.amazon.co.jp/-/en/%E6%89%8B%E5%B3%B6-%E6%8B%93%E4%B9%9F-ebook/dp/B0B74C3TNQ,843 pages
AWSで実現するモダンアプリケーション入門 〜サーバーレス、コンテナ、マイクロサービスで何ができるのか,80,2948,4.7,"
桐原書店編集部 
(編集) 
",https://www.amazon.co.jp/-/en/%E8%90%BD%E6%B0%B4-%E6%81%AD%E4%BB%8B/dp/4297133261,0
データベース3300 基本英単語・熟語,20,1100,4.3,"
下山 輝昌 
(著),  
",https://www.amazon.co.jp/-/en/%E6%A1%90%E5%8E%9F%E6%9B%B8%E5%BA%97%E7%B7%A8%E9%9B%86%E9%83%A8/dp/4342264900,384 pages
独習PHP 第4版,100,3740,4.8,"
加藤 じゅんこ 
(著) 
",https://www.amazon.co.jp/-/en/%E5%B1%B1%E7%94%B0-%E7%A5%A5%E5%AF%9B/dp/4798168491,664 pages
Pythonでできる！ 株価データ分析,19,2970,4.4,"
門脇 大輔 
(著),  
",https://www.amazon.co.jp/-/en/%E7%89%87%E6%B8%95%E5%BD%BC%E5%AF%8C/dp/462785711X,256 pages
Python 実践データ分析 100本ノック 第2版,55,2640,4.5,"
リブロワークス 
(著) 
",https://www.amazon.co.jp/-/en/%E4%B8%8B%E5%B1%B1-%E8%BC%9D%E6%98%8C/dp/479806727X,360 pages
Laravelの教科書 バージョン10対応,8,3300,4.1,"
松原 敬二 
(著) 
",https://www.amazon.co.jp/-/en/%E5%8A%A0%E8%97%A4-%E3%81%98%E3%82%85%E3%82%93%E3%81%93/dp/480261408X,352 pages
Kaggleで勝つデータ分析の技術,320,3608,4.4,"
松浦健一郎 
(著),  
",https://www.amazon.co.jp/-/en/%E9%96%80%E8%84%87-%E5%A4%A7%E8%BC%94/dp/4297108437,424 pages
（サンプルテンプレート付）Notionプロジェクト管理完全入門　Webクリエイター＆エンジニアの作業がはかどる新しい案件管理手法,28,2420,4.0,"
片平毅一郎 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%AA%E3%83%96%E3%83%AD%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9/dp/4295016276,240 pages
情報処理教科書 高度試験午前Ⅰ・Ⅱ 2023年版,27,3168,4.1,"
清水 優吾 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E5%8E%9F-%E6%95%AC%E4%BA%8C/dp/4798177563,664 pages
Python[完全]入門,168,3190,4.1,"
山崎 泰史 
(著),  
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E6%B5%A6%E5%81%A5%E4%B8%80%E9%83%8E/dp/4815607648,592 pages
基本操作からレポート作成までわかる! Microsoft Power BIの教科書,63,2420,4.4,"
矢沢 久雄 
(著) 
",https://www.amazon.co.jp/-/en/%E7%89%87%E5%B9%B3%E6%AF%85%E4%B8%80%E9%83%8E/dp/4798066001,310 pages
Microsoft Power BI入門 BI使いになる! Excel脳からの脱却,138,2728,4.1,"
塚本邦尊 
(著),  
",https://www.amazon.co.jp/-/en/%E6%B8%85%E6%B0%B4-%E5%84%AA%E5%90%BE/dp/4798170534,324 pages
絵で見てわかるITインフラの仕組み 新装版,94,2618,4.2,"
データ総研 
(著),  
",https://www.amazon.co.jp/-/en/%E5%B1%B1%E5%B4%8E-%E6%B3%B0%E5%8F%B2/dp/4798158461,376 pages
コンピュータはなぜ動くのか 第２版 知っておきたいハードウエア＆ソフトウエアの基礎知識,39,2640,4.8,"
富士通ラーニングメディア 
(著) 
",https://www.amazon.co.jp/-/en/%E7%9F%A2%E6%B2%A2-%E4%B9%85%E9%9B%84/dp/429600123X,276 pages
東京大学のデータサイエンティスト育成講座 ~Pythonで手を動かして学ぶデ―タ分析~,225,3278,5.0,"
清水 隆史 
(著),  
",https://www.amazon.co.jp/-/en/%E5%A1%9A%E6%9C%AC%E9%82%A6%E5%B0%8A/dp/4839965250,448 pages
DXを成功に導くデータマネジメント データ資産価値向上と問題解決のための実務プロセス75,91,2200,4.2,"
富士通エフ・オー・エム株式会社(FOM出版) 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%87%E3%83%BC%E3%82%BF%E7%B7%8F%E7%A0%94/dp/4798171379,276 pages
Excel 2021 基礎 Office 2021/Microsoft 365 対応 (よくわかる),12,2310,4.1,"
松島 七衣 
(著) 
",https://www.amazon.co.jp/-/en/%E5%AF%8C%E5%A3%AB%E9%80%9A%E3%83%A9%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2/dp/4938927918,278 pages
実践 マーケティングデータサイエンス: ショッパー行動の探索的データ解析と機械学習モデル構築 (量子AI・データサイエンス叢書),3,2860,4.3,"
株式会社FIXER 
(著),  
",https://www.amazon.co.jp/-/en/%E6%B8%85%E6%B0%B4-%E9%9A%86%E5%8F%B2/dp/4780610516,288 pages
Microsoft Excel 2019 基礎 (よくわかる),286,2200,4.4,"
DAMA International 
(著),  
",https://www.amazon.co.jp/-/en/%E5%AF%8C%E5%A3%AB%E9%80%9A%E3%82%A8%E3%83%95%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-FOM%E5%87%BA%E7%89%88/dp/4865103805,285 pages
Tableauによる最強・最速のデータ可視化テクニック 第2版 ～データ加工からダッシュボード作成まで～,41,3740,4.0,"
清水隆介 
(著),  
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E5%B3%B6-%E4%B8%83%E8%A1%A3/dp/4798173304,368 pages
Microsoft Power Platformローコード開発［活用］入門 ――現場で使える業務アプリのレシピ集,53,2613,4.2,"
青木 峰郎 
(著) 
",https://www.amazon.co.jp/-/en/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEFIXER-ebook/dp/B0BCK3GYGH,505 pages
データマネジメント知識体系ガイド 第二版,60,13200,4.3,"
Bill Karwin 
(著),  
",https://www.amazon.co.jp/-/en/DAMA-International/dp/4296100491,672 pages
Tableauデータ分析 ～入門から実践まで～ 第3版,13,5390,4.4,"
上原 誠 
(著),  
",https://www.amazon.co.jp/-/en/%E6%B8%85%E6%B0%B4%E9%9A%86%E4%BB%8B/dp/479806789X,672 pages
10年戦えるデータ分析入門 SQLを武器にデータ活用時代を生き抜く (Informatics &IDEA),79,0,5.0,"
高橋 光 
(著) 
",https://www.amazon.co.jp/-/en/%E9%9D%92%E6%9C%A8-%E5%B3%B0%E9%83%8E/dp/4797376279,360 pages
要点整理から攻略する『AWS認定 データベース-専門知識』 (Compass Booksシリーズ),73,3828,4.2,"
上原 一樹 
(著),  
",https://www.amazon.co.jp/-/en/NRI%E3%83%8D%E3%83%83%E3%83%88%E3%82%B3%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/dp/4839975078,0
SQLアンチパターン,102,3520,4.2,"
富士通エフ・オー・エム株式会社 (FOM出版) 
(著) 
",https://www.amazon.co.jp/-/en/Bill-Karwin/dp/4873115892,352 pages
AWSではじめるデータレイク: クラウドによる統合型データリポジトリ構築入門,85,3080,4.5,"
羽山 博 
(著),  
",https://www.amazon.co.jp/-/en/%E4%B8%8A%E5%8E%9F-%E8%AA%A0/dp/491031301X,377 pages
